LGA Status,Program Name,Round,Recipient Name,Physical Address of Recipient - Suburb/Location,Physical Address of Recipient - Post Code,University Collaborator (if applicable),Other Partners/ Collaborators (if applicable),Investment/Project Title,Primary Location of Activity/Project - Suburb/Location,Primary Location of Activity/Project - Post Code,Multiple Locations of Activity/Project,Local Government Area (LGA),RAP Region (based on Project Location),State Electorate,Contractual Commitment ($ GST excl.),Approval Date,Approval Year,Indigenous_Related,Medical_Related
Regional Councils,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Innovation Centre Sunshine Coast Pty Ltd,Sippy Downs,4556,,,Founder Fast Track Program,Sippy Downs,4556,,Sunshine Coast (R),Sunshine Coast,Buderim,21347,2019-05-21,2019,0,0
Regional Councils,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Moneyley Pty Ltd,Samford Village,4520,," Innovate Moreton Bay 
 Samford Commons Ltd",Sustainable Startup Hub,Samford Village,4520,Drop-in Hubs will be accessed at various times,Moreton Bay (R),Moreton Bay,Pine Rivers,75000,2019-05-21,2019,0,0
Regional Councils,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Rockhampton Regional Council - SmartHub,Rockhampton City,4700,," CQ University Australia 
 Startup Capricorn",Rockhampton SmartHub Administrative Support,Rockhampton City,4700,,Rockhampton (R),Central Queensland,Rockhampton,75000,2019-05-21,2019,0,0
Regional Councils,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Startup Gladstone Inc,Gladstone Central,4680,," UHY Haines Norton Gladstone CQ - Sothertons 
 Central Queensland University",Startup Gladstone Events 2019,Gladstone Central,4680,,Gladstone (R),Central Queensland,Gladstone,7500,2019-05-21,2019,0,0
Cities,Platform Technology Program,AQ Platform Technology Program 2016-17 Round 1,DataRWE Pty Ltd,Southport,4215,," Augmented Intelligence Pty Ltd 
 Griffith University 
 Intel Australia Pty Ltd 
 GE Healthcare Australia Pty Limited 
 Techconnect Software Services Pty Ltd 
 Alive Technologies Pty Ltd 
 IntelliHQ Group Limited 
 Smart AI Connect Pty Ltd 
 Eliiza Pty Ltd 
 BitQ Pty Ltd 
 K J Ross & Associates Pty Ltd 
 Amazon Web Services Australia Pty Ltd",Precision Medicine Data Platform,Southport,4215,,Gold Coast (C),Gold Coast,Bonney,1500000,2019-05-21,2019,0,0
Cities,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Gold Coast Innovation Hub Limited,Varsity Lakes,4227,,,Gold Coast Regional Administration and Reporting,Varsity Lakes,4227,,Gold Coast (C),Gold Coast,Mermaid Beach,75000,2019-05-21,2019,0,0
Cities,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Ipswich City Council,Ipswich,4305,,,Make Possible Workshop Series,Ipswich,4305,,Ipswich (C),Ipswich,Ipswich,75000,2019-05-21,2019,0,0
Cities,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Logan Startup Hub,Woodridge,4114,,,Logan Startup Hub,Woodridge,4114,,Logan (C),Logan,Woodridge,51824,2019-05-21,2019,0,0
Cities,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,theSPACE Australasia Pty Ltd,Southport,4215,," Ignite FNQ 
 Startup Tablelands 
 Crowe Horwath 
 MacDonnells Law 
 FNQ Angels 
 Cairns Regional Council 
 Angel Loop",12 Month Incubation Program & Raising Angel Investment,Southport,4215,"Online activities, and included Cairns Beaches, Tablelands, Port Douglas, Weipa Town, Wujal Wujal, Cook Shire, Bamaga, Thursday Island, Gulf Savannah (Georgetown, Chillagoe, Normaton) and The Precinct, Sunshine Coast, Gold Coast",Gold Coast (C),Gold Coast,Bonney,75000,2019-05-21,2019,0,0
Regional Councils,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Rural and Remote Innovation Australia (RRIA) Inc,Atherton,4883,," Tablelands Future Corporation 
 Tablelands Regional Council 
 Destiny Futures Corporation 
 Ignite FNQ 
 The SPACE Cairns 
 Atherton Tablelands Chamber of Commerce 
 AUS Industry",Startup Tablelands Hub,Atherton,4883,,Tablelands (R),Far North Queensland,Hill,75000,2019-05-21,2019,0,0
Regional Councils,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Silicon Coast Limited,Minyama,4575,," University of the Sunshine Coast 
 Innovation Centre Sunshine Coast 
 Coding from the Beach",Connecting Startup Founders,Minyama,4575,"Kawana, Sippy Downs, Maroochydore.  Silicon Coast works across the Sunshine Coast region, and therefore events and workshops are provided across the Coast from Caloundra to Noosa (see business activity plan, Section 5.1)",Sunshine Coast (R),Sunshine Coast,Kawana,7500,2019-05-21,2019,0,0
Regional Councils,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Spark Bureau Limited,Birtinya,4575,,,Support program for Sunshine Coast Innovators,Birtinya,4575,,Sunshine Coast (R),Sunshine Coast,Kawana,40290,2019-05-21,2019,0,0
Regional Councils,Regional Startup Hubs Support Program,Regional Startup Hubs Support Program 17-18 Round 1,Split Spaces Ltd,Mackay,4740,, Mackay Regional Council,Split Spaces Community Manager,Mackay,4740,"Isaac, Whitsundays",Mackay (R),Mackay-Whitsunday,Mackay,75000,2019-05-21,2019,0,0
Regional Councils,Aboriginal and Torres Strait Islander PhD Scholarships,AQ Aboriginal & Torres Strait Islander PhD Scholarships 2018-19 Round 4,Central Queensland University,Norman Gardens,4701,, BHP Billiton,Decolonising the systematic barriers and enablers of Indigenous career progression in MiningCo (BHP). An Aboriginal perspective - Terry Bell,Brisbane City,4001,,Rockhampton (R),Brisbane and Redlands,Keppel,107084,2019-06-14,2019,1,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Q L Spacer Blocks Pty Ltd,Ipswich,4305,,,Q L Medical,Ipswich,4305,,Ipswich (C),Ipswich,Ipswich,200000,2019-08-19,2019,0,1
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Arthritis Relief Plus Limited,Bundall,4217,,,Novel Osteoarthritis Drug US Launch,Bundall,4217,"Worongary, QLD; Runaway Bay, QLD; Southport, QLD; Tulsa OK USA",Gold Coast (C),Gold Coast,Southport,150000,2019-08-19,2019,0,1
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Codestream Solutions Pty Ltd,Fortitude Valley,4006,,,FloodMapp - Predictive Flood Mapping,Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,McConnel,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Core Resources Pty Ltd,Albion,4010,,,Toowong Process,Albion,4010,,Brisbane (C),Brisbane and Redlands,Clayfield,200000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Cubiko Pty Ltd,Spring Hill,4000,,,Commercialisation of Cubiko Multisite (CM),Spring Hill,4000,,Brisbane (C),Brisbane and Redlands,McConnel,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Cyborg Dynamics Engineering Pty Ltd,Murarrie,4172,,,Eye Align Automated Construction Sketcher,Murarrie,4172,"Substation 33, 31 Mary St, Kingston QLD 4114",Brisbane (C),Brisbane and Redlands,Bulimba,90000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Digital Technologies Institute Pty Ltd,Middle Park,4074,,,Artificial Intelligence STEM Platform,Middle Park,4074,workshops are required across Australia,Brisbane (C),Brisbane and Redlands,Mount Ommaney,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Inndox Pty Ltd,Fortitude Valley,4006,,,Commercialisation of Inndox ‘Builder Handover’,Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,McConnel,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Kynd Pty Ltd,Burleigh Heads,4220,,,Regional NDIS Market Expansion,Burleigh Heads,4220,"QLD: Northern Gold Coast, Scenic Rim, Toowoomba, Warwick, Dalby, Mt Isa, Cairns, Townsville, Mackay, Rockhampton, Gladstone, Bundaberg.",Gold Coast (C),Gold Coast,Burleigh,200000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Laird and Pascoe Trading Company Pty Ltd,Bridgeman Downs,4035,,,Frozen Herbs & Spices,Bridgeman Downs,4035,"Forest Glen, QLD",Brisbane (C),Brisbane and Redlands,Aspley,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,LincRobotics Pty Ltd,Oxenford,4210,,,Grass Advertising Robots,Oxenford,4210,,Gold Coast (C),Gold Coast,Theodore,185449,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,M3dicine Pty Ltd,Eight Mile Plains,4113,,,Commercialising IOT Stethoscope with AI,Eight Mile Plains,4113,California USA (BD Office),Brisbane (C),Brisbane and Redlands,Toohey,200000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Macrobotix Pty Ltd,Hamilton,4007,,,Painting Robotics-as-a-service Commercial Launch,Hamilton,4007,Client Painting Sites,Brisbane (C),Brisbane and Redlands,Clayfield,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Marine Composites Pty Ltd,Hemmant,4174,,,Fibre Composite Marine Piles,Hemmant,4174,,Brisbane (C),Brisbane and Redlands,Lytton,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,NoiseNet Operations Pty Ltd,Balmoral,4171,,,Smart Noise Monitoring Global Rollout,Balmoral,4171,"Brisbane, QLD     Scottsdale, Arizona",Brisbane (C),Brisbane and Redlands,Bulimba,50000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Norbit Software Pty Ltd,Stones Corner,4120,,,SaaS Loyalty Solution for Precincts,Stones Corner,4120,,Brisbane (C),Brisbane and Redlands,Greenslopes,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,OreFox Pty Ltd,Brisbane City,4000,,,OreFox Scale and Acquisition,Brisbane City,4000,"Brisbane City, QLD; Fortitude Valley, QLD; Warwick, QLD; Charters Towers, QLD; Gympie, QLD; Kilkivan, QLD; Rockhampton, QLD",Brisbane (C),Brisbane and Redlands,McConnel,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Physiotherapy Innovations Pty Ltd,Cornubia,4130,,,International Commercialisation of Therabubble™,Cornubia,4130,,Logan (C),Logan,Macalister,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,RapidAIM Pty Ltd,Highgate Hill,4101,,,Commercialising RapidAIM Real-time Insect Monitoring,Fortitude Valley,4006,"'Bundaberg, QLD'; 'Stanthorpe, QLD'; 'Yarra Valley, VIC'; 'Shepparton, VIC'",Brisbane (C),Brisbane and Redlands,South Brisbane,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,RR Tek Pty Ltd,Oxenford,4210,,,Adding Value to Waste-Water Treatment,Oxenford,4210,Will need to rent space for assembly of pilot - proposed site available,Gold Coast (C),Gold Coast,Theodore,95000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,SiteSee Pty Ltd,Fortitude Valley,4006,,,AI infrastructure analysis,Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,McConnel,160000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Sportech Industries Pty Ltd,Wavell Heights,4012,,,MyCall No Ball Detector (‘MyCall’),Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,McConnel,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Swift Performance Pty Ltd,Wacol,4076,,,Athletic Movement Monitoring,Wacol,4076,"Banyo QLD, Rosedale NZ",Brisbane (C),Ipswich,Inala,180000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Talkvia Enterprise Pty Ltd,Newstead,4006,,,Automating voice access to services,Newstead,4006,,Brisbane (C),Brisbane and Redlands,McConnel,199999,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Unified Ar System Pty Ltd,Newstead,4006,,,UnifiedAR - Distribution commercialisation project,Newstead,4006,,Brisbane (C),Brisbane and Redlands,McConnel,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Vorteil.io Pty Ltd,Varsity Lakes,4227,,,Vorteil - A Cloud Operating System,Varsity Lakes,4227,,Gold Coast (C),Gold Coast,Mermaid Beach,200000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Vostronet (Australia) Pty Ltd,Brisbane City,4000,,,Commercialisation of PrivateMesh vLAN Technology,Brisbane City,4000,,Brisbane (C),Brisbane and Redlands,McConnel,200000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,WeKo Pty Ltd,New Farm,4005,,,WeKoGP (General Practice),New Farm,4005,"Brisbane, Queensland",Brisbane (C),Brisbane and Redlands,McConnel,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Yodal Pty Ltd,Newstead,4006,,,Yodal Scale,Newstead,4006,"Cairns, QLD, Townsville QLD, Rockhampton QLD, Mackay QLD, Gympie QLD",Brisbane (C),Brisbane and Redlands,McConnel,90000,2019-08-19,2019,0,0
Regional Councils,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,(UI!) The Urban Institute Pty Ltd,Sippy Downs,4556,,,UrbanInsight Smart City Data Platform,Sippy Downs,4556,,Sunshine Coast (R),Sunshine Coast,Buderim,100000,2019-08-19,2019,0,0
Regional Councils,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Aquafarms Queensland Pty Ltd,Urangan,4655,,,Scaling to export,Urangan,4655,,Fraser Coast (R),Wide Bay,Hervey Bay,100000,2019-08-19,2019,0,0
Regional Councils,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,McGregor Diesel Pty Ltd ATF The S & A McGregor Trust,Goondiwindi,4390,,,Fuelling Innovation in Regional Queensland,Goondiwindi,4390,,Goondiwindi (R),Darling Downs,Southern Downs,100000,2019-08-19,2019,0,0
Regional Councils,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Micromelon Pty Ltd,Albany Creek,4035,,,Micromelon Robotics,Albany Creek,4035,"Darra, Queensland",Moreton Bay (R),Moreton Bay,Everton,100000,2019-08-19,2019,0,0
Regional Councils,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,NetHealth Pty Ltd,Sippy Downs,4556,,,Commercialisation of Net-HealthData in Australia,Sippy Downs,4556,"Eagle Farm, Queensland; Sunshine Coast, Queensland",Sunshine Coast (R),Sunshine Coast,Buderim,99500,2019-08-19,2019,0,0
Regional Councils,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,NexusMyst Pty Ltd,Brendale,4500,,,Commercialising NexusMyst for Law enforcement,Brendale,4500,Ferny Grove QLD,Moreton Bay (R),Moreton Bay,Pine Rivers,90000,2019-08-19,2019,0,0
Regional Councils,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Sensor Bridge Technologies Pty Ltd,Bargara,4670,,,Smart Irrigation System,Bundaberg Central,4670,,Bundaberg (R),Wide Bay,Burnett,99462,2019-08-19,2019,0,0
Regional Councils,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Simpori Pty Ltd,Caloundra West,4551,,,Innovative sanitation of poultry sheds,Caloundra West,4551,"Beerwah, QLD; Sydney, NSW; overseas",Sunshine Coast (R),Sunshine Coast,Kawana,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Welio Pty Ltd,Taringa,4068,,,Commercialising Welio for GP eConsults,Taringa,4068,,Brisbane (C),Brisbane and Redlands,Maiwar,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,ABM Technologies Australia Pty Ltd,Brisbane City,4000,,,International Growth of ACE-Insights solution,Toowong,4066,"Vancouver, Canada and North America",Brisbane (C),Brisbane and Redlands,McConnel,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Alumtek Minerals Pty Ltd,Belmont,4153,,,Project Reclaim Bauxite Residue Valorisation,Gladstone,4680,"JK Tech 40 Isles Indooroopilli   4068,           SGS Australia 41 Victoria Malaga WA 6090",Brisbane (C),Central Queensland,Chatsworth,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Aurtra Pty Ltd,Corinda,4075,,,Automated Global Provisioning,Corinda,4075,,Brisbane (C),Brisbane and Redlands,Mount Ommaney,199456,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Australian Kunzea Pty Ltd,Coolangatta,4225,,,Accelerate Commercialisation of Kunzea Products,Coolangatta,4225,"Worongary, Queensland; Brisbane, Queensland",Gold Coast (C),Gold Coast,Currumbin,99928,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Chromoxyion Pty Ltd,Karana Downs,4306,,,Sex Selection in Farm Animals,Karana Downs,4306,"Gatton, Queensland",Brisbane (C),Ipswich,Moggill,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,DocSols Pty Ltd,Rocklea,4106,,,Commercialisation of the DocSols platform,Rocklea,4106,,Brisbane (C),Brisbane and Redlands,Miller,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Field QL Pty Ltd,Kenmore,4069,,,Real estate lease analysis platform,Kenmore,4069,,Brisbane (C),Brisbane and Redlands,Moggill,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,GaardTech Pty ltd,Chermside,4032,,,GaardTech Global Commercialisation,Chermside,4032,"Kedron, Queensland",Brisbane (C),Brisbane and Redlands,Stafford,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Gelomics Pty Ltd,Kelvin Grove,4059,,,Next-generation 3D cell culture technologies,Kelvin Grove,4059,,Brisbane (C),Brisbane and Redlands,McConnel,98600,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Haystack Australia Pty Ltd,Banyo,4014,,,Commercialising Haystack for Enterprise SaaS,Banyo,4014,,Brisbane (C),Brisbane and Redlands,Nudgee,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Holospace Pty Ltd,Ipswich,4305,,,HoloSpace Air -  Border protection,Ipswich,4305,"Cairns, Queensland",Ipswich (C),Ipswich,Ipswich,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Ikara Group Pty Ltd,Brisbane City,4000,,,Commercialisation of the Echelon Technology,Brisbane City,4000,,Brisbane (C),Brisbane and Redlands,McConnel,100000,2019-08-19,2019,0,0
Cities,Ignite Ideas Fund,AQ Ignite Ideas Fund 2018-19 Round 5,Immersive Robotics Pty Ltd,Fortitude Valley,4006,,,Commercialising 4K120 wireless streaming solution,Fortitude Valley,4006,"South Korea, Japan",Brisbane (C),Brisbane and Redlands,McConnel,199739,2019-08-19,2019,0,0
Cities,Deadly Innovation,Round 1,Sobah Beverages Pty Ltd,Burleigh Heads,4220,,,Dry Shelf Stabilisation of Products,Burleigh Heads,4220,,Gold Coast (C),Gold Coast,Burleigh,100000,2019-08-21,2019,1,0
Cities,Global CEO Challenge,Round 1,Creative Industries Precinct Pty Ltd,Kelvin Grove,4059,,,Global CEO Scale-Up Program,Kelvin Grove,4059,,Brisbane (C),Brisbane and Redlands,McConnel,75000,2019-10-01,2019,0,0
Cities,Travello,Round 1,Travello Pty Ltd,Fortitude Valley,4006,,,Travello - Traveller Marketing & Data Insights Platform,Fortitude Valley,4006,,Brisbane (C),Brisbane and Redlands,McConnel,300000,2019-10-22,2019,0,0
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," BGI Australia 
 Metro South Hospital and Health Service - Princess Alexandra Hospital",Beyond visible:  A Queensland technology for early skin cancer diagnosis -Xiaoqiong Qi,St Lucia,4067,,Brisbane (C),Brisbane and Redlands,Maiwar,300000,2019-11-18,2019,0,1
Cities,Industry Research Fellowships,AQ Industry Research Fellowships 2019 Round 2,The University of Queensland,St Lucia,4067,," Metro South Hospital and Health Service - Princess Alexandra Hospital 
 EMvision Medical Devices Ltd",Novel techniques for monitoring and classifying brain stroke – Lei Guo,St Lucia,4067,"1. Creek St, Brisbane City, QLD, 4000, Australia    2. Ipswich Rd, Woolloongabba, QLD, 4102, Australia",Brisbane (C),Brisbane and Redlands,Maiwar,174793,2019-11-18,2019,0,1
